ID,Age,Job,Marital,Education,Loan Default,Balance,Housing Loan,Personal Loan
C1204,39,admin.,married,secondary,no,419,yes,yes
C1205,28,blue-collar,married,secondary,no,134,yes,no
C1206,26,technician,single,secondary,no,2087,no,no
C1207,40,technician,married,tertiary,no,103,yes,no
C1208,44,housemaid,married,secondary,no,281,yes,no
C1209,34,management,married,tertiary,no,133,yes,no
C121,56,technician,divorced,unknown,no,56,yes,no
C1210,47,blue-collar,married,primary,no,1865,yes,no
C1211,55,blue-collar,single,tertiary,no,325,yes,no
C1212,48,blue-collar,divorced,primary,no,-18,yes,no
C1213,36,blue-collar,single,primary,no,49,yes,no
C1214,31,management,single,tertiary,no,7444,yes,yes
C1215,30,management,single,tertiary,no,59,yes,yes
C1216,46,blue-collar,married,primary,no,45,yes,no
C1217,30,admin.,single,secondary,no,387,yes,no
C1218,32,blue-collar,single,secondary,no,5,yes,yes
C1219,48,blue-collar,single,unknown,no,71,yes,no
C122,51,blue-collar,married,secondary,no,26,yes,no
C1220,48,admin.,single,secondary,no,96,yes,no
C1221,36,services,single,tertiary,no,72,yes,no
C1222,41,admin.,single,secondary,no,1715,yes,no
C1223,49,admin.,single,primary,no,181,yes,no
C1224,26,blue-collar,married,secondary,yes,20,yes,no
C1225,38,management,married,secondary,no,65,yes,no
C1226,27,student,single,secondary,no,81,yes,no
C1227,51,retired,married,secondary,no,226,yes,yes
C1228,33,admin.,divorced,secondary,no,1128,yes,no
C1229,53,unemployed,married,secondary,no,582,yes,no
C123,34,admin.,married,unknown,no,3,yes,no
C1230,36,technician,married,secondary,no,5611,yes,no
C1231,48,technician,divorced,secondary,no,177,yes,no
C1232,27,admin.,single,secondary,no,181,yes,no
C1233,42,technician,married,secondary,no,0,yes,no
C1234,61,blue-collar,married,primary,no,734,yes,no
C1235,31,self-employed,married,tertiary,no,322,yes,no
C1236,37,blue-collar,single,secondary,no,134,yes,no
C1237,34,entrepreneur,married,tertiary,no,10350,yes,no
C1238,55,technician,married,unknown,no,84,yes,no
C1239,24,services,married,secondary,no,620,yes,no
C124,43,services,married,secondary,no,41,yes,yes
C1240,41,technician,married,unknown,no,254,yes,no
C1241,34,blue-collar,single,primary,no,0,yes,no
C1242,29,blue-collar,married,secondary,no,5903,yes,no
C1243,42,blue-collar,single,primary,no,134,yes,yes
C1244,45,services,married,secondary,no,1381,yes,no
C1245,49,management,married,secondary,no,104,yes,no
C1246,26,blue-collar,single,primary,no,318,yes,no
C1247,35,technician,single,secondary,no,2151,yes,no
C1248,49,services,married,secondary,no,-8,yes,no
C1249,44,blue-collar,married,primary,no,185,yes,no
C125,52,technician,married,tertiary,no,7,no,yes
C1250,41,management,married,tertiary,no,1773,no,no
C1251,50,blue-collar,married,primary,no,40,yes,no
C1252,58,retired,married,tertiary,no,44,yes,no
C1253,43,blue-collar,married,secondary,no,0,yes,no
C1254,34,management,married,tertiary,no,0,yes,no
C1255,57,admin.,divorced,secondary,no,3058,yes,no
C1256,43,services,divorced,secondary,no,130,yes,no
C1257,38,services,married,secondary,no,507,yes,no
C1258,35,self-employed,married,tertiary,no,844,yes,no
C1259,49,admin.,married,primary,no,458,yes,no
C126,33,technician,single,secondary,no,105,yes,no
C1260,33,blue-collar,married,primary,yes,-744,yes,no
C1261,60,retired,married,primary,no,-2,yes,no
C1262,33,technician,single,tertiary,no,129,yes,no
C1263,33,services,divorced,secondary,no,411,yes,no
C1264,47,management,married,tertiary,no,643,yes,no
C1265,37,technician,single,unknown,no,391,yes,no
C1266,34,blue-collar,married,secondary,no,80,yes,yes
C1267,32,technician,single,secondary,no,10,yes,no
C1268,36,admin.,married,secondary,no,114,yes,yes
C1269,40,blue-collar,single,secondary,no,1,yes,no
C127,29,admin.,single,secondary,no,818,yes,yes
C1270,57,management,married,tertiary,no,1341,yes,no
C1271,48,blue-collar,married,primary,no,4,yes,no
C1272,26,blue-collar,married,secondary,no,2770,yes,no
C1273,30,management,single,tertiary,no,5956,yes,no
C1274,41,admin.,married,secondary,no,55,yes,no
C1275,30,self-employed,married,secondary,no,131,yes,no
C1276,35,management,married,tertiary,no,1942,yes,no
C1277,36,entrepreneur,married,unknown,no,298,yes,no
C1278,52,technician,married,secondary,no,291,no,no
C1279,45,blue-collar,married,primary,no,85,yes,no
C128,34,services,married,secondary,no,-16,yes,yes
C1280,35,management,single,tertiary,no,797,yes,no
C1281,46,blue-collar,single,secondary,no,152,yes,no
C1282,39,blue-collar,married,primary,no,481,yes,no
C1283,38,management,married,tertiary,no,66,yes,no
C1284,38,blue-collar,married,secondary,no,4586,yes,no
C1285,31,technician,single,tertiary,no,1798,yes,no
C1286,39,management,single,tertiary,no,220,yes,no
C1287,32,blue-collar,married,secondary,no,715,yes,no
C1288,32,services,married,secondary,no,442,yes,no
C1289,26,student,single,secondary,no,85,yes,no
C129,31,blue-collar,married,secondary,no,0,yes,no
C1290,35,technician,married,secondary,no,319,yes,no
C1291,26,blue-collar,single,secondary,no,-29,yes,no
C1292,33,admin.,single,secondary,no,303,no,no
C1293,41,unknown,single,primary,no,2398,yes,no
C1294,30,entrepreneur,married,secondary,no,31,no,no
C1295,36,technician,single,secondary,no,1832,yes,no
C1296,46,services,married,secondary,no,2019,yes,no
C1297,30,blue-collar,married,primary,no,3,yes,no
C1298,46,services,married,secondary,no,397,no,no
C1299,38,technician,married,tertiary,no,1161,yes,no
C13,53,technician,married,secondary,no,6,yes,no
C130,55,services,married,secondary,no,2476,yes,no
C1300,24,technician,single,tertiary,no,777,yes,no
C1301,41,management,divorced,tertiary,no,47,yes,no
C1302,28,technician,married,primary,no,-58,yes,no
C1303,55,unemployed,single,tertiary,no,1513,yes,no
C1304,40,management,married,tertiary,no,121,no,no
C1305,38,management,divorced,tertiary,no,904,yes,no
C1306,40,technician,married,secondary,no,697,yes,no
C1307,54,services,married,secondary,no,841,yes,no
C1308,49,housemaid,married,secondary,no,7317,yes,no
C1309,44,blue-collar,married,secondary,no,-95,yes,no
C131,55,management,married,unknown,no,1185,no,no
C1310,32,management,single,tertiary,no,751,yes,no
C1311,36,blue-collar,married,primary,no,250,yes,no
C1312,35,technician,single,secondary,no,365,yes,no
C1313,31,management,single,tertiary,no,1315,yes,no
C1314,34,technician,married,secondary,no,65,yes,no
C1315,36,management,married,tertiary,no,1852,no,no
C1316,44,admin.,single,secondary,no,-84,yes,no
C1317,44,blue-collar,single,secondary,no,36,yes,no
C1318,51,blue-collar,married,unknown,no,125,yes,no
C1319,36,blue-collar,married,secondary,no,0,no,no
C132,32,admin.,single,secondary,no,217,yes,no
C1320,37,blue-collar,married,secondary,no,105,yes,no
C1321,31,services,married,secondary,no,432,yes,no
C1322,42,blue-collar,married,primary,no,555,yes,no
C1323,55,entrepreneur,married,primary,no,-24,yes,no
C1324,57,management,married,tertiary,no,2261,yes,no
C1325,33,services,married,secondary,no,804,yes,yes
C1326,44,blue-collar,married,secondary,yes,-617,yes,no
C1327,30,technician,married,secondary,no,-1,yes,no
C1328,37,services,married,secondary,no,237,yes,no
C1329,32,admin.,married,secondary,no,514,yes,no
C133,38,technician,single,secondary,no,1685,yes,no
C1330,33,blue-collar,married,secondary,no,1988,yes,no
C1331,31,technician,single,tertiary,no,491,yes,no
C1332,46,technician,married,tertiary,no,675,yes,no
C1333,34,blue-collar,single,secondary,no,177,yes,no
C1334,51,admin.,divorced,secondary,no,340,yes,no
C1335,49,technician,married,primary,no,230,yes,no
C1336,52,management,single,tertiary,yes,0,no,no
C1337,43,technician,married,tertiary,no,2331,yes,no
C1338,35,blue-collar,divorced,secondary,no,0,yes,no
C1339,27,student,single,secondary,no,217,yes,no
C134,55,admin.,single,secondary,no,802,yes,yes
C1340,43,blue-collar,married,primary,no,186,yes,no
C1341,49,admin.,divorced,secondary,no,168,yes,yes
C1342,50,services,divorced,secondary,no,145,yes,no
C1343,33,admin.,divorced,secondary,no,140,yes,no
C1344,49,services,married,secondary,no,-22,yes,no
C1345,50,technician,married,secondary,no,389,yes,no
C1346,42,admin.,married,secondary,no,323,yes,yes
C1347,28,services,married,secondary,no,6,yes,no
C1348,41,technician,married,secondary,no,225,yes,yes
C1349,34,services,married,secondary,no,142,yes,no
C135,28,unemployed,single,tertiary,no,0,yes,no
C1350,58,blue-collar,married,primary,no,5,no,no
C1351,46,blue-collar,married,primary,no,174,yes,yes
C1352,46,blue-collar,married,primary,no,-768,yes,no
C1353,42,blue-collar,married,secondary,no,30,no,no
C1354,40,blue-collar,married,primary,no,968,yes,yes
C1355,42,blue-collar,divorced,secondary,no,47,yes,yes
C1356,33,entrepreneur,married,secondary,no,0,yes,yes
C1357,27,services,married,primary,no,91,yes,no
C1358,43,blue-collar,married,primary,no,-77,yes,no
C1359,28,blue-collar,married,unknown,no,486,yes,no
C136,23,blue-collar,married,secondary,no,94,yes,no
C1360,34,blue-collar,single,secondary,no,341,yes,no
C1361,37,services,married,secondary,no,50,yes,no
C1362,41,services,married,secondary,no,205,yes,no
C1363,39,admin.,single,secondary,no,762,yes,no
C1364,37,technician,single,tertiary,no,31,yes,no
C1365,41,unemployed,married,primary,yes,-581,yes,no
C1366,36,services,single,secondary,no,-45,yes,no
C1367,51,blue-collar,married,primary,no,0,no,no
C1368,28,self-employed,married,tertiary,no,120,yes,yes
C1369,31,blue-collar,married,secondary,no,335,yes,no
C137,32,technician,single,secondary,no,0,yes,no
C1370,33,services,married,secondary,no,-232,yes,no
C1371,28,admin.,divorced,secondary,no,785,yes,no
C1372,31,services,married,secondary,no,28,yes,no
C1373,43,management,single,tertiary,no,2067,yes,no
C1374,48,blue-collar,married,primary,no,448,yes,no
C1375,26,student,single,tertiary,no,37,yes,no
C1376,34,technician,single,tertiary,no,301,yes,no
C1377,38,blue-collar,married,primary,no,668,no,no
C1378,51,admin.,divorced,secondary,no,115,yes,yes
C1379,49,admin.,single,secondary,no,275,no,no
C138,43,services,single,unknown,no,0,no,no
C1380,60,retired,married,primary,no,414,no,no
C1381,32,management,single,tertiary,no,3,yes,no
C1382,36,admin.,divorced,secondary,no,496,no,no
C1383,28,management,single,tertiary,no,150,yes,no
C1384,34,management,single,tertiary,no,163,no,no
C1385,40,admin.,single,secondary,no,1322,yes,no
C1386,33,housemaid,married,primary,no,1713,yes,no
C1387,37,admin.,married,primary,no,242,yes,no
C1388,40,management,married,tertiary,no,-29,no,no
C1389,59,retired,divorced,tertiary,no,381,yes,no
C139,32,blue-collar,married,secondary,no,517,yes,no
C1390,39,blue-collar,single,secondary,no,82,yes,no
C1391,28,management,single,tertiary,no,21,yes,no
C1392,30,services,married,secondary,no,1801,yes,no
C1393,40,blue-collar,married,primary,no,640,yes,yes
C1394,28,blue-collar,married,primary,no,113,yes,no
C1395,39,blue-collar,married,secondary,no,1042,yes,no
C1396,44,services,divorced,secondary,no,240,yes,no
C1397,39,services,single,secondary,no,-244,yes,no
C1398,30,blue-collar,married,primary,no,70,yes,yes
C1399,35,blue-collar,married,secondary,no,-339,yes,no
C14,58,technician,married,unknown,no,71,yes,no
C140,46,blue-collar,married,secondary,no,265,yes,no
C1400,31,management,married,tertiary,no,59,yes,no
C1401,47,management,married,primary,no,1222,yes,no
C1402,26,student,single,unknown,no,-41,yes,no
C1403,25,blue-collar,single,secondary,no,0,yes,no
C1404,42,management,married,tertiary,no,6,yes,no
C1405,30,blue-collar,married,primary,no,4,yes,no
C1406,28,services,married,secondary,no,20,yes,yes
C1407,46,admin.,divorced,tertiary,no,846,yes,no
C1408,43,blue-collar,divorced,secondary,no,338,yes,no
C1409,38,technician,married,unknown,no,90,yes,yes
C141,53,housemaid,divorced,primary,no,947,yes,no
C1410,31,blue-collar,married,primary,no,406,yes,no
C1411,29,services,single,secondary,no,2,no,no
C1412,34,services,married,secondary,no,2211,no,no
C1413,40,blue-collar,married,primary,no,87,yes,no
C1414,30,technician,single,tertiary,no,178,yes,no
C1415,44,technician,married,unknown,no,185,yes,yes
C1416,38,blue-collar,married,secondary,no,-210,yes,no
C1417,43,management,divorced,tertiary,no,388,yes,no
C1418,32,blue-collar,married,secondary,no,1,yes,no
C1419,33,management,married,secondary,yes,879,yes,no
C142,34,self-employed,single,secondary,no,3,yes,no
C1420,32,blue-collar,married,secondary,no,214,yes,no
C1421,40,technician,married,unknown,no,698,yes,no
C1422,34,management,married,tertiary,no,1601,yes,no
C1423,30,blue-collar,married,secondary,no,717,yes,no
C1424,53,blue-collar,divorced,primary,no,255,yes,no
C1425,39,management,single,tertiary,no,375,yes,no
C1426,46,blue-collar,married,primary,no,587,yes,no
C1427,32,management,married,tertiary,no,644,yes,yes
C1428,60,technician,married,unknown,no,0,yes,no
C1429,40,management,single,tertiary,no,-275,yes,no
C143,57,unemployed,married,tertiary,no,42,no,no
C1430,47,blue-collar,married,secondary,no,116,yes,no
C1431,25,entrepreneur,married,tertiary,no,37,yes,yes
C1432,44,blue-collar,married,primary,no,753,yes,no
C1433,38,blue-collar,single,primary,no,162,yes,no
C1434,45,admin.,divorced,secondary,no,984,yes,no
C1435,34,blue-collar,married,secondary,no,199,yes,no
C1436,36,services,divorced,secondary,no,241,yes,no
C1437,30,blue-collar,single,secondary,no,648,yes,yes
C1438,35,blue-collar,single,secondary,no,907,yes,yes
C1439,39,unemployed,divorced,secondary,no,6322,no,no
C144,37,blue-collar,married,secondary,no,37,yes,no
C1440,46,blue-collar,married,secondary,no,125,yes,yes
C1441,36,self-employed,married,primary,no,90,yes,no
C1442,22,technician,single,secondary,no,54,yes,yes
C1443,26,blue-collar,single,secondary,no,-132,no,no
C1444,48,admin.,divorced,secondary,no,267,no,no
C1445,32,blue-collar,married,primary,no,289,yes,no
C1446,58,self-employed,divorced,secondary,no,613,yes,no
C1447,57,entrepreneur,married,unknown,no,618,yes,no
C1448,53,management,married,tertiary,no,1786,yes,no
C1449,29,management,divorced,tertiary,no,607,yes,yes
C145,59,blue-collar,married,secondary,no,57,yes,no
C1450,34,services,married,secondary,no,586,yes,yes
C1451,32,services,single,secondary,no,459,yes,no
C1452,55,entrepreneur,married,primary,no,298,yes,no
C1453,50,blue-collar,divorced,primary,no,134,no,no
C1454,43,blue-collar,married,primary,no,34,yes,no
C1455,44,services,single,secondary,no,1378,yes,no
C1456,27,blue-collar,married,tertiary,no,417,yes,yes
C1457,35,blue-collar,married,secondary,no,25,yes,no
C1458,45,services,married,secondary,no,22,yes,no
C1459,35,blue-collar,single,primary,no,398,yes,no
C146,33,services,married,secondary,no,22,yes,no
C1460,49,blue-collar,single,primary,no,1164,yes,no
C1461,34,management,married,secondary,no,487,yes,no
C1462,46,admin.,married,secondary,no,1069,yes,no
C1463,43,blue-collar,married,primary,no,-192,yes,no
C1464,42,retired,married,primary,no,0,yes,no
C1465,55,blue-collar,married,primary,no,332,yes,no
C1466,37,blue-collar,married,secondary,no,121,yes,no
C1467,31,blue-collar,married,primary,no,68,yes,no
C1468,57,blue-collar,divorced,primary,no,-176,yes,no
C1469,33,blue-collar,married,secondary,no,527,yes,yes
C147,56,blue-collar,divorced,primary,no,8,yes,no
C1470,43,services,single,unknown,no,193,yes,no
C1471,60,blue-collar,divorced,primary,no,7601,yes,no
C1472,51,management,married,tertiary,no,751,no,no
C1473,38,blue-collar,single,unknown,no,495,yes,no
C1474,37,technician,single,secondary,no,670,yes,no
C1475,41,blue-collar,single,secondary,no,363,yes,no
C1476,42,blue-collar,married,secondary,no,376,yes,no
C1477,41,management,divorced,tertiary,no,292,yes,no
C1478,33,technician,married,unknown,no,0,no,no
C1479,32,admin.,single,secondary,no,184,yes,no
C148,48,unemployed,married,secondary,no,293,yes,no
