ID,Contact,Day,Month,Duration,Campaign,Last Select,Current Select,Sample No
C1127,unknown,7,may,489,2,no,Yes,2
C1128,unknown,7,may,41,3,no,Yes,3
C1129,unknown,7,may,159,3,no,Yes,5
C113,unknown,5,may,212,2,no,Yes,3
C1130,unknown,7,may,196,2,no,No,1
C1131,unknown,7,may,276,4,no,Yes,2
C1132,unknown,7,may,697,2,no,Yes,1
C1133,unknown,7,may,81,2,no,Yes,2
C1134,unknown,7,may,149,1,no,No,4
C1135,unknown,7,may,281,2,no,Yes,3
C1136,unknown,7,may,122,5,no,Yes,1
C1137,unknown,7,may,361,2,no,No,4
C1138,unknown,7,may,319,3,no,No,1
C1139,unknown,7,may,944,3,no,Yes,5
C114,unknown,5,may,286,1,no,No,5
C1140,unknown,7,may,282,2,no,Yes,2
C1141,unknown,7,may,1102,2,yes,Yes,1
C1142,unknown,7,may,35,3,no,No,4
C1143,unknown,7,may,143,2,no,No,2
C1144,unknown,7,may,22,2,no,Yes,1
C1145,unknown,7,may,90,2,no,Yes,4
C1146,unknown,7,may,17,2,no,Yes,3
C1147,unknown,7,may,404,5,no,Yes,5
C1148,unknown,7,may,238,2,no,No,2
C1149,unknown,7,may,71,4,no,No,4
C115,unknown,5,may,107,1,no,Yes,2
C1150,unknown,7,may,309,2,no,Yes,1
C1151,unknown,7,may,408,3,no,Yes,3
C1152,unknown,7,may,128,4,no,No,2
C1153,unknown,7,may,297,3,no,No,5
C1154,unknown,7,may,280,3,no,Yes,1
C1155,unknown,7,may,374,2,no,Yes,2
C1156,unknown,7,may,365,4,no,Yes,4
C1157,unknown,8,may,177,3,no,Yes,2
C1158,unknown,8,may,238,3,no,No,5
C1159,unknown,8,may,425,6,no,No,4
C116,unknown,5,may,247,2,no,No,5
C1160,unknown,8,may,77,2,no,Yes,2
C1161,unknown,8,may,223,2,no,No,4
C1162,unknown,8,may,201,2,no,Yes,2
C1163,unknown,8,may,239,2,no,Yes,1
C1164,unknown,8,may,308,3,no,Yes,4
C1165,unknown,8,may,137,2,no,Yes,2
C1166,unknown,8,may,162,2,no,Yes,3
C1167,unknown,8,may,134,1,no,Yes,5
C1168,unknown,8,may,175,5,no,Yes,3
C1169,unknown,8,may,125,3,no,Yes,4
C117,unknown,5,may,518,1,no,No,3
C1170,unknown,8,may,211,3,no,No,5
C1171,unknown,8,may,67,1,no,Yes,1
C1172,unknown,8,may,156,1,no,Yes,2
C1173,unknown,8,may,943,2,yes,No,5
C1174,unknown,8,may,813,1,yes,Yes,3
C1175,unknown,8,may,178,1,no,Yes,3
C1176,unknown,8,may,142,1,no,No,5
C1177,unknown,8,may,194,1,no,No,3
C1178,unknown,8,may,132,1,no,Yes,1
C1179,unknown,8,may,109,1,no,Yes,2
C118,unknown,5,may,364,1,no,Yes,3
C1180,unknown,8,may,94,1,no,Yes,2
C1181,unknown,8,may,31,1,no,No,5
C1182,unknown,8,may,84,4,no,Yes,3
C1183,unknown,8,may,489,1,no,No,4
C1184,unknown,8,may,180,1,no,No,4
C1185,unknown,8,may,314,1,no,No,1
C1186,unknown,8,may,207,1,no,Yes,2
C1187,unknown,8,may,146,3,no,No,4
C1188,unknown,8,may,193,1,no,Yes,2
C1189,unknown,8,may,177,2,no,No,5
C119,unknown,5,may,178,1,no,No,4
C1190,unknown,8,may,1040,1,no,Yes,2
C1191,unknown,8,may,622,1,no,Yes,3
C1192,unknown,8,may,170,2,no,Yes,4
C1193,unknown,8,may,267,1,no,Yes,1
C1194,unknown,8,may,1084,1,yes,Yes,4
C1195,unknown,8,may,528,1,no,No,5
C1196,unknown,8,may,183,1,no,No,5
C1197,unknown,8,may,238,1,no,Yes,4
C1198,unknown,8,may,61,1,no,Yes,3
C1199,unknown,8,may,923,1,no,Yes,2
C12,unknown,5,may,137,1,no,No,5
C120,unknown,5,may,98,1,no,Yes,5
C1200,unknown,8,may,70,1,no,Yes,4
C1201,unknown,8,may,541,3,yes,No,2
C1202,unknown,8,may,41,1,no,Yes,3
C1203,unknown,8,may,221,4,no,Yes,5
C1204,unknown,8,may,35,1,no,No,5
C1205,unknown,8,may,262,1,no,Yes,4
C1206,unknown,8,may,151,1,no,Yes,2
C1207,unknown,8,may,135,2,no,Yes,2
C1208,unknown,8,may,604,1,no,No,4
C1209,unknown,8,may,65,1,no,No,1
C121,unknown,5,may,439,1,no,Yes,3
C1210,unknown,8,may,380,3,no,Yes,1
C1211,unknown,8,may,693,1,no,Yes,1
C1212,unknown,8,may,11,1,no,Yes,2
C1213,unknown,8,may,405,1,no,No,1
C1214,unknown,8,may,20,1,no,Yes,5
C1215,unknown,8,may,202,1,no,Yes,3
C1216,unknown,8,may,235,1,no,Yes,1
C1217,unknown,8,may,75,1,no,No,2
C1218,unknown,8,may,134,1,no,Yes,2
C1219,unknown,8,may,101,2,no,Yes,1
C122,unknown,5,may,79,1,no,Yes,4
C1220,unknown,8,may,255,1,no,Yes,5
C1221,unknown,8,may,80,1,no,Yes,2
C1222,unknown,8,may,462,1,no,Yes,3
C1223,unknown,8,may,161,3,no,Yes,3
C1224,unknown,8,may,200,1,no,No,3
C1225,unknown,8,may,56,1,no,Yes,2
C1226,unknown,8,may,238,1,no,Yes,4
C1227,unknown,8,may,418,1,no,Yes,3
C1228,unknown,8,may,139,2,no,No,1
C1229,unknown,8,may,96,2,no,Yes,4
C123,unknown,5,may,120,3,no,Yes,4
C1230,unknown,8,may,39,1,no,Yes,1
C1231,unknown,8,may,471,1,no,Yes,3
C1232,unknown,8,may,231,2,no,Yes,2
C1233,unknown,8,may,66,2,no,Yes,4
C1234,unknown,8,may,204,1,no,Yes,5
C1235,unknown,8,may,159,1,no,Yes,1
C1236,unknown,8,may,200,1,no,Yes,5
C1237,unknown,8,may,187,3,no,No,3
C1238,unknown,8,may,166,1,no,No,3
C1239,unknown,8,may,144,1,no,Yes,5
C124,unknown,5,may,127,2,no,Yes,2
C1240,unknown,8,may,690,1,no,No,5
C1241,unknown,8,may,323,1,no,Yes,1
C1242,unknown,8,may,194,1,no,No,1
C1243,unknown,8,may,82,1,no,Yes,2
C1244,unknown,8,may,269,1,no,No,4
C1245,unknown,8,may,285,1,no,No,5
C1246,unknown,8,may,101,1,no,No,4
C1247,unknown,8,may,294,1,no,No,4
C1248,unknown,8,may,1119,1,yes,Yes,1
C1249,unknown,8,may,249,1,no,No,2
C125,unknown,5,may,175,1,no,Yes,3
C1250,unknown,8,may,106,1,no,No,5
C1251,unknown,8,may,152,1,no,Yes,5
C1252,unknown,8,may,12,2,no,Yes,5
C1253,unknown,8,may,187,1,no,Yes,3
C1254,unknown,8,may,214,2,no,No,5
C1255,unknown,8,may,268,1,no,No,5
C1256,unknown,8,may,193,1,no,Yes,4
C1257,unknown,8,may,95,1,no,Yes,2
C1258,unknown,8,may,60,1,no,Yes,4
C1259,unknown,8,may,381,1,no,No,3
C126,unknown,5,may,262,2,no,Yes,2
C1260,unknown,8,may,206,1,no,No,4
C1261,unknown,8,may,75,1,no,Yes,3
C1262,unknown,8,may,128,1,no,No,1
C1263,unknown,8,may,216,1,no,No,4
C1264,unknown,8,may,155,1,no,Yes,2
C1265,unknown,8,may,103,3,no,Yes,1
C1266,unknown,8,may,494,1,no,Yes,4
C1267,unknown,8,may,107,1,no,No,5
C1268,unknown,8,may,147,1,no,Yes,3
C1269,unknown,8,may,190,1,no,Yes,4
C127,unknown,5,may,61,1,no,Yes,2
C1270,unknown,8,may,339,2,no,Yes,5
C1271,unknown,8,may,198,1,no,Yes,3
C1272,unknown,8,may,141,1,no,No,2
C1273,unknown,8,may,255,1,no,Yes,1
C1274,unknown,8,may,1120,2,yes,Yes,3
C1275,unknown,8,may,306,1,no,Yes,3
C1276,unknown,8,may,249,1,no,Yes,3
C1277,unknown,8,may,215,1,no,Yes,4
C1278,unknown,8,may,143,1,no,Yes,5
C1279,unknown,8,may,162,1,no,Yes,4
C128,unknown,5,may,78,1,no,No,5
C1280,unknown,8,may,81,1,no,Yes,2
C1281,unknown,8,may,33,4,no,Yes,4
C1282,unknown,8,may,204,1,no,Yes,5
C1283,unknown,8,may,124,1,no,No,3
C1284,unknown,8,may,784,1,no,No,2
C1285,unknown,8,may,393,1,no,No,5
C1286,unknown,8,may,87,2,no,No,4
C1287,unknown,8,may,108,2,no,Yes,1
C1288,unknown,8,may,207,1,no,Yes,5
C1289,unknown,8,may,278,2,no,No,3
C129,unknown,5,may,143,1,no,Yes,2
C1290,unknown,8,may,74,1,no,No,5
C1291,unknown,8,may,196,1,no,No,3
C1292,unknown,8,may,149,1,no,Yes,4
C1293,unknown,8,may,287,2,no,Yes,4
C1294,unknown,8,may,229,1,no,Yes,4
C1295,unknown,8,may,154,1,no,No,4
C1296,unknown,8,may,357,1,no,Yes,3
C1297,unknown,8,may,147,1,no,Yes,3
C1298,unknown,8,may,93,1,no,Yes,2
C1299,unknown,8,may,665,1,no,No,3
C13,unknown,5,may,517,1,no,No,3
C130,unknown,5,may,579,1,yes,Yes,1
C1300,unknown,8,may,131,1,no,Yes,3
C1301,unknown,8,may,160,1,no,Yes,4
C1302,unknown,8,may,74,1,no,Yes,3
C1303,unknown,8,may,60,1,no,Yes,1
C1304,unknown,8,may,82,1,no,Yes,4
C1305,unknown,8,may,475,1,no,Yes,1
C1306,unknown,8,may,111,1,no,Yes,2
C1307,unknown,8,may,284,4,no,Yes,3
C1308,unknown,8,may,140,1,no,Yes,1
C1309,unknown,8,may,110,1,no,Yes,5
C131,unknown,5,may,677,1,no,Yes,2
C1310,unknown,8,may,64,1,no,Yes,4
C1311,unknown,8,may,149,1,no,Yes,2
C1312,unknown,8,may,256,2,no,Yes,1
C1313,unknown,8,may,156,1,no,Yes,1
C1314,unknown,8,may,63,3,no,Yes,1
C1315,unknown,8,may,362,1,no,No,4
C1316,unknown,8,may,32,3,no,No,4
C1317,unknown,8,may,712,1,no,No,1
C1318,unknown,8,may,102,2,no,Yes,2
C1319,unknown,8,may,338,2,no,Yes,1
C132,unknown,5,may,345,1,no,Yes,2
C1320,unknown,8,may,69,2,no,No,4
C1321,unknown,8,may,446,1,no,Yes,4
C1322,unknown,8,may,249,2,no,Yes,1
C1323,unknown,8,may,176,1,no,Yes,1
C1324,unknown,8,may,1007,1,no,No,5
C1325,unknown,8,may,266,1,no,Yes,2
C1326,unknown,8,may,172,1,no,Yes,2
C1327,unknown,8,may,323,1,no,No,4
C1328,unknown,8,may,175,1,no,Yes,4
C1329,unknown,8,may,459,1,no,No,4
C133,unknown,5,may,185,1,no,Yes,4
C1330,unknown,8,may,211,2,no,Yes,3
C1331,unknown,8,may,237,1,no,Yes,3
C1332,unknown,8,may,50,1,no,Yes,3
C1333,unknown,8,may,500,1,no,Yes,5
C1334,unknown,8,may,186,1,no,Yes,3
C1335,unknown,8,may,96,1,no,Yes,1
C1336,unknown,8,may,98,1,no,Yes,5
C1337,unknown,8,may,364,4,no,Yes,5
C1338,unknown,8,may,477,1,no,Yes,3
C1339,unknown,8,may,319,1,no,No,2
C134,unknown,5,may,100,2,no,Yes,2
C1340,unknown,8,may,178,1,no,Yes,2
C1341,unknown,8,may,513,1,yes,No,3
C1342,unknown,8,may,170,1,no,No,2
C1343,unknown,8,may,139,1,no,Yes,3
C1344,unknown,8,may,70,1,no,Yes,4
C1345,unknown,8,may,110,1,no,Yes,5
C1346,unknown,8,may,280,2,no,No,4
C1347,unknown,8,may,667,1,no,Yes,1
C1348,unknown,8,may,63,2,no,Yes,1
C1349,unknown,8,may,159,4,no,Yes,4
C135,unknown,5,may,125,2,no,Yes,3
C1350,unknown,8,may,177,2,no,Yes,1
C1351,unknown,8,may,108,3,no,Yes,2
C1352,unknown,8,may,194,3,no,Yes,4
C1353,unknown,8,may,366,2,no,Yes,4
C1354,unknown,8,may,213,1,no,Yes,3
C1355,unknown,8,may,141,1,no,No,1
C1356,unknown,8,may,982,1,no,Yes,4
C1357,unknown,8,may,168,2,no,No,1
C1358,unknown,8,may,468,1,no,Yes,5
C1359,unknown,8,may,180,1,no,Yes,1
C136,unknown,5,may,193,1,no,Yes,2
C1360,unknown,8,may,195,1,no,Yes,3
C1361,unknown,8,may,352,3,no,No,1
C1362,unknown,8,may,91,1,no,Yes,2
C1363,unknown,8,may,288,1,no,Yes,5
C1364,unknown,8,may,72,1,no,No,3
C1365,unknown,8,may,218,2,no,Yes,3
C1366,unknown,8,may,289,1,no,Yes,3
C1367,unknown,8,may,384,1,no,Yes,1
C1368,unknown,8,may,130,3,no,Yes,3
C1369,unknown,8,may,226,1,no,Yes,4
C137,unknown,5,may,136,1,no,No,5
C1370,unknown,8,may,208,1,no,Yes,4
C1371,unknown,8,may,442,2,yes,No,1
C1372,unknown,8,may,101,1,no,No,4
C1373,unknown,8,may,756,1,yes,Yes,1
C1374,unknown,8,may,189,1,no,Yes,3
C1375,unknown,8,may,108,1,no,Yes,2
C1376,unknown,8,may,205,1,no,Yes,5
C1377,unknown,8,may,238,1,no,No,3
C1378,unknown,8,may,136,1,no,Yes,3
C1379,unknown,8,may,14,1,no,No,1
C138,unknown,5,may,73,1,no,Yes,5
C1380,unknown,8,may,395,1,no,No,4
C1381,unknown,8,may,161,1,no,No,3
C1382,unknown,8,may,269,3,no,No,4
C1383,unknown,8,may,491,1,no,Yes,1
C1384,unknown,8,may,44,1,no,Yes,2
C1385,unknown,8,may,26,1,no,Yes,3
C1386,unknown,8,may,22,1,no,Yes,4
C1387,unknown,8,may,161,8,no,Yes,1
C1388,unknown,8,may,406,2,no,Yes,1
C1389,unknown,8,may,422,4,no,Yes,1
C139,unknown,5,may,528,1,no,Yes,2
C1390,unknown,8,may,147,5,no,Yes,4
C1391,unknown,8,may,219,3,no,Yes,4
C1392,unknown,8,may,807,2,no,Yes,5
C1393,unknown,8,may,347,2,no,No,3
C1394,unknown,8,may,534,2,no,Yes,1
C1395,unknown,8,may,58,2,no,Yes,4
C1396,unknown,8,may,155,2,no,No,5
C1397,unknown,8,may,152,2,no,No,1
C1398,unknown,8,may,461,3,no,Yes,5
C1399,unknown,8,may,389,2,no,Yes,5
C14,unknown,5,may,71,1,no,No,1
C140,unknown,5,may,541,1,no,Yes,3
C1400,unknown,8,may,314,3,no,Yes,4
C1401,unknown,8,may,28,3,no,No,1
C1402,unknown,8,may,229,2,no,Yes,3
C1403,unknown,8,may,30,2,no,No,4
C1404,unknown,8,may,103,4,no,Yes,4
C1405,unknown,8,may,32,2,no,No,1
C1406,unknown,8,may,252,2,no,Yes,2
C1407,unknown,8,may,369,2,no,Yes,4
C1408,unknown,8,may,116,1,no,Yes,1
C1409,unknown,8,may,20,2,no,No,3
C141,unknown,5,may,163,1,no,No,3
C1410,unknown,8,may,31,1,no,Yes,4
C1411,unknown,8,may,190,1,no,Yes,5
C1412,unknown,8,may,149,1,no,Yes,1
C1413,unknown,8,may,210,1,no,No,3
C1414,unknown,8,may,234,1,no,Yes,3
C1415,unknown,8,may,63,1,no,Yes,2
C1416,unknown,8,may,21,1,no,Yes,1
C1417,unknown,8,may,2087,2,yes,Yes,1
C1418,unknown,8,may,102,1,no,Yes,5
C1419,unknown,8,may,245,1,no,Yes,3
C142,unknown,5,may,301,1,no,No,5
C1420,unknown,8,may,190,1,no,Yes,4
C1421,unknown,8,may,223,2,no,No,3
C1422,unknown,8,may,650,2,no,Yes,2
C1423,unknown,8,may,42,1,no,No,2
C1424,unknown,8,may,206,2,no,No,4
C1425,unknown,8,may,66,2,no,No,4
C1426,unknown,8,may,173,2,no,Yes,3
C1427,unknown,8,may,477,2,no,Yes,1
C1428,unknown,8,may,77,1,no,Yes,3
C1429,unknown,8,may,219,2,no,Yes,2
C143,unknown,5,may,46,1,no,Yes,2
C1430,unknown,8,may,376,2,no,Yes,1
C1431,unknown,8,may,453,2,no,Yes,2
C1432,unknown,8,may,151,2,no,Yes,1
C1433,unknown,8,may,200,2,no,No,2
C1434,unknown,8,may,298,5,no,Yes,1
C1435,unknown,8,may,627,3,no,No,2
C1436,unknown,8,may,133,1,no,Yes,4
C1437,unknown,8,may,287,1,no,Yes,2
C1438,unknown,8,may,242,1,no,Yes,2
C1439,unknown,8,may,184,1,no,No,4
C144,unknown,5,may,204,1,no,Yes,2
C1440,unknown,8,may,119,2,no,No,4
C1441,unknown,8,may,403,2,no,No,1
C1442,unknown,8,may,626,6,no,No,5
C1443,unknown,8,may,12,1,no,Yes,5
C1444,unknown,8,may,266,1,no,No,3
C1445,unknown,8,may,23,4,no,Yes,2
C1446,unknown,8,may,154,2,no,Yes,2
C1447,unknown,8,may,10,7,no,Yes,5
C1448,unknown,8,may,66,2,no,Yes,4
C1449,unknown,8,may,240,3,no,No,1
C145,unknown,5,may,98,1,no,No,1
C1450,unknown,8,may,224,2,no,Yes,1
C1451,unknown,8,may,202,2,no,Yes,5
C1452,unknown,8,may,144,3,no,Yes,1
C1453,unknown,8,may,263,2,no,Yes,2
C1454,unknown,8,may,543,3,no,Yes,1
C1455,unknown,8,may,257,2,no,No,5
C1456,unknown,8,may,237,2,no,Yes,1
C1457,unknown,8,may,23,5,no,Yes,3
C1458,unknown,8,may,209,3,no,Yes,3
C1459,unknown,8,may,34,1,no,Yes,2
C146,unknown,5,may,71,1,no,Yes,3
C1460,unknown,8,may,72,1,no,Yes,3
C1461,unknown,8,may,442,2,no,No,5
C1462,unknown,8,may,45,2,no,No,3
C1463,unknown,8,may,1120,2,yes,No,1
C1464,unknown,8,may,186,2,no,No,5
C1465,unknown,8,may,318,2,no,No,3
C1466,unknown,8,may,617,2,no,No,1
C1467,unknown,8,may,226,1,no,Yes,4
C1468,unknown,8,may,275,1,no,Yes,5
C1469,unknown,8,may,81,2,no,Yes,1
C147,unknown,5,may,157,2,no,No,2
C1470,unknown,8,may,74,7,no,Yes,2
C1471,unknown,8,may,285,1,no,Yes,3
C1472,unknown,8,may,261,5,no,Yes,3
C1473,unknown,8,may,297,1,no,Yes,1
C1474,unknown,8,may,78,3,no,No,3
C1475,unknown,8,may,183,3,no,No,3
C1476,unknown,8,may,15,1,no,No,5
C1477,unknown,8,may,352,2,no,Yes,5
C1478,unknown,8,may,345,2,no,No,2
C1479,unknown,8,may,230,4,no,Yes,2
C148,unknown,5,may,243,1,no,No,2
C1480,unknown,8,may,185,2,no,Yes,4
C1481,unknown,8,may,296,1,no,Yes,5
C1482,unknown,8,may,181,2,no,Yes,3
C1483,unknown,8,may,133,2,no,Yes,2
C1484,unknown,8,may,335,9,no,Yes,4
C1485,unknown,8,may,139,1,no,Yes,5
C1486,unknown,8,may,7,3,no,No,2
C1487,unknown,8,may,163,2,no,Yes,2
C1488,unknown,8,may,956,2,no,No,5
C1489,unknown,8,may,166,2,no,Yes,2
C149,unknown,5,may,186,2,no,Yes,2
C1490,unknown,8,may,71,2,no,No,3
C1491,unknown,8,may,191,2,no,Yes,2
C1492,unknown,8,may,459,2,no,No,3
C1493,unknown,8,may,292,2,no,Yes,4
C1494,unknown,8,may,100,5,no,Yes,5
C1495,unknown,8,may,257,3,no,No,2
C1496,unknown,8,may,255,6,no,Yes,2
C1497,unknown,8,may,233,2,no,Yes,3
C1498,unknown,8,may,128,2,no,Yes,5
C1499,unknown,8,may,246,2,no,No,4
C15,unknown,5,may,174,1,no,No,2
C150,unknown,5,may,579,2,no,No,3
C1500,unknown,8,may,56,2,no,Yes,5
C1501,unknown,8,may,210,2,no,Yes,3
C1502,unknown,8,may,43,2,no,No,4
C1503,unknown,8,may,21,9,no,No,2
C1504,unknown,8,may,91,2,no,Yes,5
C1505,unknown,8,may,67,2,no,Yes,2
C1506,unknown,8,may,219,4,no,Yes,3
C1507,unknown,8,may,110,2,no,Yes,1
C1508,unknown,8,may,169,2,no,Yes,1
C1509,unknown,8,may,248,3,no,Yes,4
C151,unknown,5,may,163,2,no,Yes,2
C1510,unknown,8,may,223,2,no,No,2
C1511,unknown,8,may,92,3,no,No,5
C1512,unknown,8,may,93,2,no,Yes,1
C1513,unknown,8,may,205,4,no,Yes,3
C1514,unknown,8,may,160,1,no,No,2
C1515,unknown,8,may,105,2,no,No,4
C1516,unknown,8,may,112,2,no,Yes,5
C1517,unknown,8,may,383,3,no,Yes,3
C1518,unknown,8,may,207,2,no,No,4
C1519,unknown,8,may,193,2,no,No,3
C152,unknown,5,may,610,2,no,Yes,1
C1520,unknown,8,may,10,2,no,Yes,2
C1521,unknown,8,may,985,2,yes,Yes,3
C1522,unknown,8,may,249,5,no,Yes,2
C1523,unknown,8,may,122,2,no,Yes,2
C1524,unknown,8,may,300,2,no,No,3
C1525,unknown,8,may,672,3,no,No,2
C1526,unknown,8,may,390,3,no,Yes,5
C1527,unknown,8,may,116,2,no,No,2
